   input,  output, for,if,while,Exp,   fc,FNP
0,0,0.00163203,0.00121647,0,0.00212227,0.00088204,0
0,0,0.00131374,0.00121247,0,0.0020844,0.00091248,0
0,0,0.00158428,0.00116035,0,0.00210972,0.00092607,0
0,0,0.00192728,0.00127813,0,0.00231673,0.00097563,1
0,0,0.00192728,0.00127813,0,0.00231673,0.00097563,1
0,0,0.00126788,0.00097495,0,0.00203989,0.00100432,0
0,0,0.00130562,0.00121391,0,0.00266966,0.00100624,0
0,0,0.00126788,0.0009749,0,0.00206973,0.00103385,0
0,0,0.00126788,0.00097495,0,0.00206973,0.00103385,0
0,0,0.00154382,0.00111545,0,0.00235605,0.00104834,1
0,0,0.00187489,0.00142729,0,0.00253333,0.00105339,0
0,0,0.00163176,0.00112459,0,0.00217005,0.00105383,1
0,0,0.0017041,0.00119789,0,0.00224389,0.00105724,0
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00162209,0,0.00221484,0.00105861,1
0,0,0.00158733,0.00112997,0,0.002355,0.00107682,1
0,0,0.00154382,0.00111545,0,0.0023598,0.00108016,1
0,0,0.00154382,0.00111545,0,0.0023598,0.00108016,1
0,0,0.00166062,0.00114311,0,0.00246686,0.00116989,1
0,0,0.00158248,0.00113431,0,0.0025646,0.00119252,1
0,0,0.00151895,0.00112172,0,0.00260387,0.00119573,1
0,0,0.00212454,0.00151305,0,0.0026671,0.00121669,0
0,0,0.00142152,0.00071281,0,0.00225732,0.00122791,0
0,0,0.00194288,0.00138708,0,0.00277076,0.00125002,1
0.00E+00,0.00E+00,1.66E-03,1.20E-03,2.10E-05,2.17E-03,1.32E-03,0
0,0,0.00140321,0.00108967,0,0.00252658,0.00148276,1
0,0,0.00145104,0.00114867,0,0.00245177,0.00150221,0
0.00013221,0,0.00185639,0.00057592,0,0.00194963,0.00164054,1
0,0,0.00107088,0.0008931,0,0.00230471,0.0016598,0
0.00E+00,0.00E+00,3.19E-03,2.22E-03,2.90E-05,3.73E-03,1.69E-03,0
0,0,0.00164978,0.00147988,0.00067437,0.00265817,0.00200377,1
0,0,0.00091419,0.00028282,0,0.00247436,0.00203896,0
0,0,0.00151374,0.00135338,0.00029502,0.00272437,0.00204523,1
0,0,0.00114297,0.00132656,0.00032447,0.00293866,0.00207189,1
0,0,0.00151374,0.00133159,0.00016543,0.00281815,0.00218924,1
0,0,0.00151374,0.00133159,0.00016543,0.00281815,0.00218924,1
0,0,0.00197616,0.0013601,0,0.00300749,0.00221932,0
0.00E+00,0.00E+00,6.82E-04,7.44E-04,2.51E-05,1.94E-03,2.23E-03,1
0,0,0.001584,0.00137305,0.00060601,0.00264319,0.00228545,0
0,0,0.00151374,0.00133159,0.00133159,0.00281815,0.00235626,1
0.00E+00,0.00E+00,1.73E-03,1.59E-03,6.80E-06,3.11E-03,2.36E-03,0
0,0,0.001601,0.00168613,0.00040499,0.00340603,0.00240259,1
0.00E+00,0.00E+00,1.41E-03,1.23E-03,1.84E-05,2.74E-03,2.48E-03,0
0.00E+00,0.00E+00,1.37E-03,1.24E-03,2.77E-05,2.97E-03,2.61E-03,1
0.00034832,0,0.00122428,0.00128835,0.00056221,0.00327543,0.0029729,1
